SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
MP,,240233,"MANG A/P SAE-100 3/8"" X 400 TERM. 90° JIC 3/4""FEMEA X RETO JIC 3/4"" UNF FEMEA",,Almox Prod Especiais
MP,,240256,"MANG. A/P 5/8""x 700MM TERM. RETO/RETO JIC 7/8""",,Almox Prod Especiais
MP,,240258,"MANG. A/P 5/8""x 1200MM TERM. RETO/RETO JIC 7/8""",,Almox Prod Especiais
MP,,240262,ADAPTADOR MACHO JIC 3/4 X 3/8 NPT,,Almox Prod Especiais
MP,,240270,JOELHO 90º MACHO JIC 3/4 X 3/4 FEMEA JIC,,Almox Prod Especiais
MP,,240273,UNIAO MACHO JIC 3/4 X 3/4 BSP,,Almox Prod Especiais
MP,,240276,"MANG. A/P 5/8"" X 900MM TERM. RETO/RETO JIC 7/8""",,Almox Prod Especiais
MP,,240301,TERM FEMEA JIC 90 MANG 3/8 X 3/4,,Almox Prod Especiais
MP,,240302,TERM RETO FEMEA JIC MANG 3/8 X 3/4,,Almox Prod Especiais
MP,,240365,"MANG. A/P 5/8""x 2200MM TERM. RETO/RETO JIC 7/8""",,Almox Prod Especiais
MP,,240442,"MANG R2 - 3/8"" X 1200 - TERM. RETO/90 FEMEA JIC 3/4""",,Almox Prod Especiais
MP,,240464,"UNIAO MACHO JIC 7/8"" x 7/8""",,Almox Prod Especiais
MP,,240467,"ADAPTADOR MACHO JIC 1.5/16"" x 1"" - NPT",,Almox Prod Especiais
MP,,240510,"CIL. COMPL. 2"" x 180MM CÓD.CJ 429",,Almox Prod Especiais
MP,,240549,ADAPT. MACHO JIC 3/4 X 1/2 NPT,,Almox Prod Especiais
MP,,240590,"ADAPT. 1/2"" NPTF X 3/4-16-PTT-30°",,Almox Prod Especiais
MP,,240643,"CILINDRO 2 ESTAGIO 57,15 MM BASC. LATERAL",,Almox Prod Especiais
MP,,240846,"JOELHO FG JIC 7/8"" X MACHO JIC 7/8""",,Almox Prod Especiais
MP,,248787,BUCHA REDUÇÃO SOLDADA LONGA 75x50,,Almox Prod Especiais
MP,,251008,"PARAF ALLEN S/C 1/4"" X 1/2""",,Almox Prod Especiais
MP,,254877,"MANGUEIRA 3/4"" TRANÇADA",,Almox Prod Especiais
