SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
AL06 - CARPINTARIA,,116592,MAD ASSOALHO    2.0X 15.0X165.0 (Un),,Central
AL04 - CHA,,112434,ACO TREF. RED. SAE,,Central
AL06 - CARPINTARIA,,115083,MAD TABUA CEN/S 2.0X15.0X400.0 (Un),,Central
AL06 - CARPINTARIA,,115630,MAD ASSOALHO    2.0X10.0X395.0 (Un),,Central
AL06 - CARPINTARIA,,115885,MAD ASSOALHO    2.0X15.0X 230.0 (Un),,Central
AL06 - CARPINTARIA,,115629,MAD ASSOALHO    2.0X10.0X320.0 (Un),,Central
AL04 - SER,,126706,AÇO CHATO LAM 5/8 X 2.1/2 SAE,,Central
AL04 - SER,,112203,ACO TREF. RED. SAE,,Central
AL08 - PROJETOS,,240236,MANG DE SUCÇÃO AZUL 4 (M),,Central
AL01 - GAV,G03,534144MEG,ELETRODO SILVERPLUS 80A REF.: 220187 MEGAPLASMA (Un),,Central
AL06 - CARPINTARIA,,115400,MAD ASSOALHO    2.0X15.0X70.0 (Un),,Central
AL01 - GAV,G03,533880MEG,BOCAL EXTERNO HPRXD 30/130A REF.: 220747 MEGAPLASMA (Un),,Central
AL04 - SER,,134194,TUBO MECANICO  80 X  50  ST,,Central
AL04 - SER,,110048,ACO LAMINADO RED 2.1/2    1020 (KG),,Central
AL06 - CARPINTARIA,,115733,MAD ASSOALHO    2.0X15.0X320.0 (Un),,Central
AL04 - SER,,110747,AÇO LAMINADO RED 5          1020 (KG),,Central
AL04 - SER,,134037,"TUBO RET  50 X 30 X 3,00MM (KG)",,Central
AL04 - SER,,124060,ACO TREFILADO QDR   1/2   1045 (KG),,Central
AL04 - SER,,110255,ACO LAMINADO RED 1.1/4    1045 (KG),,Central
AL04 - SER,,110164,ACO LAMINADO RED 1        1020 (KG),,Central
AL06 - CARPINTARIA,,115198,MAD ASSOALHO    2.0X15.0X400.0 (Un),,Central
AL04 - SER,,134883,"TUBO QDR 50,00 X 6MM (KG)",,Central
AL04 - SER,,199780,ACO RED SAE,,Central
AL04 - SER,,134026,TUBO RETANGULAR 100 X 50 X 6MM (KG),,Central
AL04 - SER,,112460,ACO TREF. RED. SAE,,Central
AL04 - SER,,110103,ACO LAMINADO RED 1.1/2    1020 (KG),,Central
AL04 - SER,,134882,"TUBO QDR    25X25X3,00MM (KG)",,Central
AL04 - SER,,112802,ACO LAM RED. SAE,,Central
AL04 - SER,,134451,TUBO QDR 50 X 3.00MM (KG),,Central
AL04 - SER,,134453,TUBO QDR    40 X 3.00MM (KG),,Central
AL01 - GAV,G03,533884MEG,BOCAL DE PROTEÇÃO 130A REF.: 220183 MEGAPLASMA (Un),,Central
AL04 - SER,,110140,ACO LAMINADO RED 4          1020 (KG),,Central
AL04 - SER,,134891,"TUBO QDR    40,00 X 2,50 (KG)",,Central
AL04 - SER,,134025,"TUBO RET  100 X 50 X 4,00 (KG)",,Central
AL04 - SER,,124394,ACO LAMINADO QDR 3        1020 (KG),,Central
AL04 - SER,,134326,TUBO SCHEDULLE 40,,Central
AL04 - SER,,110929,ACO LAMINADO RED 2        8620 (KG),,Central
