SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
MANUTENÇÃO,,500722,PARAF. ALLEN C.CAB 3/8 X 1.1/2 UNC (Un),20,Central
MANUTENÇÃO,,510391,PARAF ALLEN C/C 14X50MM (Un),10,Central
MANUTENÇÃO,,504617,BUJÃO FG 1/2 (Un),15,Central
MANUTENÇÃO,,504731,LUVA FEMEA NPT 3/4 X 3/4 (Un),1,Central
MANUTENÇÃO,,510236,PARAF ALLEN C/C 10X90MM (Un),5,Central
NÃO EXISTE,,213847,CORREIA ABERTA 2L 1/8 X 1/16 ,4,Central
NÃO EXISTE,,213841,CORREIA TR 2L ,10,Central
NÃO EXISTE,,222141,VALV. REGUL. DE VAZAO 60L/MIN 1/2 NPT (Un),2,Central
NÃO EXISTE,,224158,CORREIA B,4,Central
NÃO EXISTE,,240647,REPARO CILINDRO CILINDRO TEL. CBH 8T 19 OC V3585,2,Central
NÃO EXISTE,,259241,PARAF SEX 1 X 11 UNC ZB (Un),19,Central
NÃO EXISTE,,240216,MANG A/P SAE,6,Central
AL01,CX,219801,CHAVE TRIP. P/MOTOR C/2 BOTÕES 30A CS,21,Central
NÃO EXISTE,,238430,MOLA DO EST. DE CORR. MS,139,Central
AL01,CH,117008,TECNIL TARUGO 60MM (KG),"9,56",Central
AL01,B01,274185,PORCA SEXT. INOX ,1018,Central
AL02,,200220,"ESCOVA EM NYLON 0,40 PRETO PP CÓD.05.225.00.000 (Un)",18,Central
AL01,AM03,509175,SUPORTE DE BORRACHA 4.1/2 MAX (Un),9,Central
