SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
PEÇA,,026454,FECHAM LATERAL GRADE 60 cm,,Almox Corte e Estamparia
PEÇA,,026651,BICO MAIOR DA MUDA- TRANSPLANTADEIRA,,Almox Corte e Estamparia
PEÇA,,026658,CUBO DA RODA- TRANSPLANTADEIRA,,Almox Corte e Estamparia
PEÇA,,026659,FECHAM BICO MAIOR- TRANSPLANTADEIRA,,Almox Corte e Estamparia
PEÇA,,026662,RAIO DA RODA- TRANSPLANTADEIRA,,Almox Corte e Estamparia
PEÇA,,026664,CORPO - RODA 5 FUROS - TRANSPLANTADEIRA,,Almox Corte e Estamparia
PEÇA,,026669,LONGARINA - SOMBRITE - TRANSPLANTADEIRA,,Almox Corte e Estamparia
PEÇA,,026671,COMPLEM. DA LONGARINA - SOMBRITE - TRANSPLANTADEIRA,,Almox Corte e Estamparia
PEÇA,,026673,FECHAM LONG INFERIOR DIANT- APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026674,FECHAM LONGARINA TRASEIRA- APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026675,FECHAM COLUNA LAT CENTRAL- APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026677,REFORÇO TRIANGULAR- APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026680,REFORÇO DA COLUNA DIANT CENTRAL - CHASSI - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026682,ORELHA LATERAL DO APOIO DO ASSENTO - CHASSI - TRANSPLANTADEIRA,,Almox Corte e Estamparia
PEÇA,,026689,COMPLEMENTO INFERIOR - PORTA BANDEJA VAZIA - TRANSPLANTADEIRA,,Almox Corte e Estamparia
PEÇA,,026697,APOIO DO TANQUE - CHASSI - TRANSPLANTADEIRA,,Almox Corte e Estamparia
PEÇA,,026705,COMPLEMENTO SUP DA GAIOLA - PORTA BANDEJA VAZIA- - TRANSPLANTADEIRA,,Almox Corte e Estamparia
PEÇA,,026728,FUEIRO - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026730,SAPATA INFERIOR - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026734,SAPATA SUPERIOR - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026737,CANTONEIRA TIRANTE- PROT SOLAR - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026740,ENGATE TERCEIRO PONTO- APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026741,TUBO PARA DESLIZE DO ROLO - ROLOS PARA DESLIZE- APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026742,ENGATE EXTERNO CENTRAL- APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026744,ENGATE INTERNO- APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026749,REFORÇO LATERAL - ESTRUTURA - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026751,APOIO - ESTRUTURA - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026760,BASE DE REGULAGEM DO BANCO - CHASSI - TRANSPLANTADEIRA,,Almox Corte e Estamparia
PEÇA,,026764,ORELHA DO PORTA BANDEJA - CHASSI - TRANSPLANTADEIRA,,Almox Corte e Estamparia
PEÇA,,026766,ORELHA DO APOIO DO ASSENTO CENTRAL - CHASSI - TRANSPLANTADEIRA,,Almox Corte e Estamparia
PEÇA,,026777,HASTE DO EIXO DA RODA - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026778,CORPO DA BRAÇADEIRA - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026780,COMPLEMENTO VERTICAL - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026795,BUCHA MANOPLA - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026796,REFORÇO TRIANGULAR DO 2º PONTO - CONJUNTO SOLDADO PRINCIPAL - PRÉ-ENCANTEIRADOR,,Almox Corte e Estamparia
PEÇA,,026797,CENTRO DA RODA (RODA TRASEIRA) - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026802,FIXAÇÃO DA HASTE - CONJUNTO DA RODA - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026802,FIXAÇÃO DA HASTE - CONJUNTO DA RODA - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026803,CORPO DO SUPORTE DO DISCO - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026803,CORPO DO SUPORTE DO DISCO - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026804,REFORÇO TRIANGULAR - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026823,GUIA DO EIXO - ESTRUTURA - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026848,ORELHA MAIOR DE LIGAÇÃO - PORTA BANDEJA - TRANSPLANTADEIRA,,Almox Corte e Estamparia
PEÇA,,026849,ORELHA MENOR DE LIGAÇÃO GAIOLA - PORTA BANDEJA VAZIA - TRANSPLANTADEIRA,,Almox Corte e Estamparia
PEÇA,,026851,CHAPA COM RASGO - CONJ DISCO - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026866,CORPO - SUPORTE DO BEBEDOURO - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026866,CORPO - SUPORTE DO BEBEDOURO - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026867,GARRA - SUPORTE DO BEBEDOURO - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026867,GARRA - SUPORTE DO BEBEDOURO - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026868,BASE - SUPORTE DO BEBEDOURO - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026868,BASE - SUPORTE DO BEBEDOURO - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026871,CAPA DA RODA [RODA GUIA - TRP6000],,Almox Corte e Estamparia
PEÇA,,026880,CHAPA SUPORTE DO BANCO - CAPINADEIRA/ TRANSPLANTADEIRA,,Almox Corte e Estamparia
PEÇA,,026881,CHAPA VERTICAL - SUPORTE DO BANCO - CAPINADEIRA/ TRANSPLANTADEIRA,,Almox Corte e Estamparia
PEÇA,,026885,PISO DA PLATAFORMA - SELECIONADORA DE FRUTAS,,Almox Corte e Estamparia
PEÇA,,026886,FECHAMENTO LAT PLAT - PLATAFORMA - SELECIONADORA DE FRUTAS,,Almox Corte e Estamparia
PEÇA,,026888,COMPLEMENTO PLATAFORMA- PLATAFORMA - SELECIONADORA DE FRUTAS,,Almox Corte e Estamparia
PEÇA,,026890,LONGARINA PLATAFORMA- PLATAFORMA - SELECIONADORA DE FRUTAS,,Almox Corte e Estamparia
PEÇA,,026894,DEGRAU DA ESCADA - PLATAFORMA - SELECIONADORA DE FRUTAS,,Almox Corte e Estamparia
PEÇA,,026895,TRAVESSA SUPERIOR PLATAFORMA- PLATAFORMA - SELECIONADORA DE FRUTAS,,Almox Corte e Estamparia
PEÇA,,026897,CORPO DA ESCADA- PLATAFORMA - SELECIONADORA DE FRUTAS,,Almox Corte e Estamparia
PEÇA,,026898,ORELHA MAIOR - PLATAFORMA - SELECIONADORA DE FRUTAS,,Almox Corte e Estamparia
PEÇA,,026899,SAPATA - PLATAFORMA - SELECIONADORA DE FRUTAS,,Almox Corte e Estamparia
PEÇA,,026900,CORPO DO NIVELADOR (CAVALETE)- PLATAFORMA - SELECIONADORA DE FRUTAS,,Almox Corte e Estamparia
PEÇA,,026904,CHAPA DE ENCAIXE DA ESCADA - SELECIONADORA DE FRUTAS,,Almox Corte e Estamparia
PEÇA,,026906,CORPO DO LIMITADOR DA PLATAFORMA,,Almox Corte e Estamparia
PEÇA,,026907,FIXAÇÃO DA CINTA - CHASSI - TRANSPLANTADEIRA,,Almox Corte e Estamparia
PEÇA,,026908,CORRIMÃO DIANTEIRO- PLATAFORMA - SELECIONADORA DE FRUTAS,,Almox Corte e Estamparia
PEÇA,,026909,PROTEÇÃO DIANTEIRA- PLATAFORMA - SELECIONADORA DE FRUTAS,,Almox Corte e Estamparia
PEÇA,,026910,PROTEÇÃO INTERMEDIÁRIA- PLATAFORMA - SELECIONADORA DE FRUTAS,,Almox Corte e Estamparia
PEÇA,,026911,COLUNA FIXA PROTEÇÃO- PLATAFORMA - SELECIONADORA DE FRUTAS,,Almox Corte e Estamparia
PEÇA,,026914,COMPORTA [PORTA BANDEJA COMPLETO - TRP6000],,Almox Corte e Estamparia
PEÇA,,026914,COMPORTA [PORTA BANDEJA COMPLETO - TRP6000],,Almox Corte e Estamparia
PEÇA,,026924,ORELHA DO PROTETOR SOLAR - SOMBRITE - TRANSPLANTADEIRA,,Almox Corte e Estamparia
PEÇA,,026924,ORELHA DO PROTETOR SOLAR - SOMBRITE - TRANSPLANTADEIRA,,Almox Corte e Estamparia
PEÇA,,026925,COMPLEM. DA ORELHA - SOMBRITE - TRANSPLANTADEIRA,,Almox Corte e Estamparia
PEÇA,,026929,REFORÇO DO APOIO DA TUBULAÇÃO - CHASSI - TRANSPLANTADEIRA,,Almox Corte e Estamparia
