Códigos,Item,Local,Célula,Posição,Cod. Localização,Saldo,almoxarifado
240596, UNIÃO MACHO JIC 7/8x7/8 UNF (Un),AL01,EST,CH,AL01-EST-CH,24,Central 
240260, UNIÃO MACHO JIC 3/4 X 1/2 BSP (Un),AL01,EST,CH,AL01-EST-CH,16,Central 
240273, UNIAO MACHO JIC 3/4 X 3/4 BSP (Un),AL01,EST,CH,AL01-EST-CH,73,Central 
240699, UNIAO MACHO JIC 3/4 X 3/4 UNF (Un),AL01,EST,CH,AL01-EST-CH,249,Central 
240559, COTOVELO UNIAO JIC 3/4 X 3/4 JIC (Un),AL01,EST,CH,AL01-EST-CH,56,Central 
240565, TEE MACHO IGUAL JIC 7/8 (Un),AL01,EST,CH,AL01-EST-CH,11,Central 
240567, UNIAO MACHO JIC 3/4 X 7/8 UNF ORING (Un),AL01,EST,CH,AL01-EST-CH,16,Central 
240444, MANG R2 ,AL01,EST,CH,AL01-EST-CH,6,Central 
240248, MANG. A/P 3/8x 700MM TERM. RETO/90º JIC 3/4 (Un),AL01,EST,CH,AL01-EST-CH,153,Central 
240267, MANG. A/P 5/8 x 200MM TERM. RETO/RETO FEMEA JIC 7/8 (Un),AL01,EST,CH,AL01-EST-CH,21,Central 
240276, MANG. A/P 5/8 X 900MM TERM. RETO/RETO JIC 7/8 (Un),AL01,EST,CH,AL01-EST-CH,6,Central 
240289, MANG R2 ,AL01,EST,CH,AL01-EST-CH,8,Central 
240290, MANG R2 ,AL01,EST,CH,AL01-EST-CH,7,Central 
240419, MANG R2 ,AL01,EST,CH,AL01-EST-CH,11,Central 
240279, MANG. A/P 5/8 X 400MM TERM. RETO/90º JIC 7/8 (Un),AL01,EST,CH,AL01-EST-CH,11,Central 
240233, MANG A/P SAE,AL01,EST,CH,AL01-EST-CH,154,Central 
240518, MANG R2 ,AL01,EST,CH,AL01-EST-CH,8,Central 
240446, MANG R2 ,AL01,EST,CH,AL01-EST-CH,36,Central 
240522, MANG R2 ,AL01,EST,CH,AL01-EST-CH,12,Central 
240277, MANG. A/P 5/8 X 200MM TERM. RETO/90º JIC 7/8 (Un),AL01,EST,CH,AL01-EST-CH,35,Central 
240252, MANG. A/P 3/8x 800MM TERM. RETO/RETO JIC 3/4 (Un),AL01,EST,CH,AL01-EST-CH,32,Central 
240442, MANG R2 ,AL01,EST,CH,AL01-EST-CH,18,Central 
240288, MANG. A/P 3/8x 900MM TERM. RETO/RETO JIC 3/4 (Un),AL01,EST,CH,AL01-EST-CH,6,Central 
110322, ACO LAMINADO RED 1.3/4    1020 (KG),AL04,SER,,AL04-SER-,"297,04",Central 
240215, MANG A/P SAE,AL01,EST,CH,AL01-EST-CH,7,Central 
292029, REDUÇÃO CONCÊNTRICA S/ COSTURA 3.1/2 PARA 2 SCHEDULE 40 (Un),AL01,EST,PJ06,AL01-EST-PJ06,4,Central 
